L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,-,5,+,r,1092,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,-,4,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,-,3,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,-,2,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,-,1,+,r,1055,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,-,0,+,r,1055,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
a,https://hu.wiktionary.org/wiki/a#Magyar,https://en.wiktionary.org/wiki/a#Hungarian,ɒ,the,0,-,r,1416,no_info,no_info,no_info,no_info,no_info,-,certain,"('the', 'part')",0.243639922,0.917895019
á,https://hu.wiktionary.org/wiki/á#Magyar,https://en.wiktionary.org/wiki/á#Hungarian,aː,-,2,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
á,https://hu.wiktionary.org/wiki/á#Magyar,https://en.wiktionary.org/wiki/á#Hungarian,aː,-,1,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
á,https://hu.wiktionary.org/wiki/á#Magyar,https://en.wiktionary.org/wiki/á#Hungarian,aː,wow,0,-,r,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('the', 'part')",0.243639922,0.917895019
abajgat,https://hu.wiktionary.org/wiki/abajgat#Magyar,https://en.wiktionary.org/wiki/abajgat#Hungarian,ɒbɒjɡɒt,abajgat,0,-,n,1662,no_info,no_info,no_info,no_info,derivative,-,certain,(),0,-1
abál,https://hu.wiktionary.org/wiki/abál#Magyar,https://en.wiktionary.org/wiki/abál#Hungarian,ɒbaːl,the_left,0,-,n,1561,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
abcúg,https://hu.wiktionary.org/wiki/abcúg#Magyar,https://en.wiktionary.org/wiki/abcúg#Hungarian,ɒbt͡suːɡ,"(dated) get out!, begone!",0,-,v,1869,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
ábécé,https://hu.wiktionary.org/wiki/ábécé#Magyar,https://en.wiktionary.org/wiki/ábécé#Hungarian,aːbeːt͡seː,"ABC, criss-cross-row",0,-,n,1510,no_info,no_info,no_info,no_info,acronym,-,certain,(),0,-1
