L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in
-𐌰,https://en.wiktionary.org/wiki/-𐌰#Gothic,-a,a,,r,a
𐌰,https://en.wiktionary.org/wiki/𐌰#Gothic,a,a,"The_first_letter_of_, Gothic_alphabet, representing_/a/, with_, numerical_value_of_1.",r,a
𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌱𐌰#Gothic,aba,aβa,"man, husband",n,aβa
𐌰𐌱𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌱𐌱𐌰#Gothic,abba,abba,father,n,abba
𐌰𐌱𐌿,https://en.wiktionary.org/wiki/𐌰𐌱𐌿#Gothic,abu,aβu,"Compound_of_𐌰𐍆+_, clitic__𐌿.",r,aβu
𐌰𐌱𐍂𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌱𐍂𐌰𐌱𐌰#Gothic,abraba,aβraβa,"very, severely, extremely",r,aβraβa
𐌰𐌱𐍂𐌰𐌷𐌰𐌼,https://en.wiktionary.org/wiki/𐌰𐌱𐍂𐌰𐌷𐌰𐌼#Gothic,abraham,aβraham,"Abraham, , Biblical_character",n,aβraham
𐌰𐌱𐍂𐍃,https://en.wiktionary.org/wiki/𐌰𐌱𐍂𐍃#Gothic,abrs,aβr̥s,"severe, extreme",a,aβr̥s
𐌰𐌲𐌲𐌴𐌻𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐌴𐌻𐌿𐍃#Gothic,aggēlus,aŋɡelus,Alternative_form_of_𐌰𐌲𐌲𐌹𐌻𐌿𐍃,n,aŋɡelus
𐌰𐌲𐌲𐌹𐌻𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐌹𐌻𐌿𐍃#Gothic,aggilus,aŋɡɪlus,angel,n,aŋɡɪlus
𐌰𐌲𐌲𐍅𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐍅𐌹𐌸𐌰#Gothic,aggwiþa,aɡɡwɪθa,"distress, anguish, affliction, tribulation",n,aɡɡwɪθa
𐌰𐌲𐌲𐍅𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌲𐍅𐌿𐍃#Gothic,aggwus,aɡɡwus,"narrow, strait",a,aɡɡwus
𐌰𐌲𐌹𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌹𐍃#Gothic,agis,aɣɪs,fear,n,aɣɪs
𐌰𐌲𐌹𐍃𐌻𐌴𐌹𐌺𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌹𐍃𐌻𐌴𐌹𐌺𐍃#Gothic,agislēiks,aɣɪsleɪks,"terrible, fearful",a,aɣɪsleɪks
𐌰𐌲𐌻𐌰𐌹𐍄𐌲𐌰𐍃𐍄𐌰𐌻𐌳𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌲𐌰𐍃𐍄𐌰𐌻𐌳𐍃#Gothic,aglaitgastalds,aɣlɛtɡastalds,shamelessly_greedy,a,aɣlɛtɡastalds
