got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos
a,Buchstabe,"a, Abkürzung für 1","a, abbreviation for 1",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['5'],certain,,a,"a, abbreviation_for_1",r
aba,M.,"Ehemann, Gatte","husband, man (M.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['27'],certain,,aβa,"husband, man",n
abba,M.,Vater,father,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,abba,father,n
abraba,Adv.,sehr,"very, severely, extremely, excessively",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['3'],certain,,aβraβa,"very, severely, extremely, excessively",r
abrjan,V.,stark werden,become strong,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],uncertain,word,aβrjan,become_strong,v
abrs,Adj.,"stark, heftig","great, severe, extreme, excessive",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,aβrs,"great, severe, extreme, excessive",a
abu,Präp.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,,aβu,,r
ada,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,aða,,a
ada,N.,Ei,egg,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,aða,egg,n
addi,N.,Ei,egg,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,addɪ,egg,n
adra,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,aðra,,a
adrs,Adj.,"schnell, rasch","fast, quick",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,word,aðrs,"fast, quick",a
ael,M.,Stein,stone (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,,ael,stone,n
āl,M.,Stein,stone (N.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,form,al,stone,n
af,"Präp., V.","von, von weg, von her, seit, ab, zu, aus","from, away from, by, by means of, since, of",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['138'],certain,,aɸ,"from, away_from, by, by_means_of, since, of",rv
afagjan,V.,"ängstigen, sich ängstigen, abschrecken","worry (V.), scare (V.), scare away, frighten, frighten off, daunt",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['2'],certain,form,aɸaɣjan,"worry, scare, scare_away, frighten, frighten_off, daunt",v
afaikan,V.,"leugnen, fluchen, verleugnen","deny, abjure, disavow, forswear, renounce (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['13'],certain,,aɸaɪkan,"deny, abjure, disavow, forswear, renounce",v
afaírzjan,V.,"irre machen, abweichen (V.) (2), abirren, verführen, sich verführen lassen (= Pa>>>","deceive, lead astray, misguide (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['6'],certain,,aɸɛrzjan,"deceive, lead_astray, misguide",v
afar,"Präp., V., Sb.","nach, hinter, hernach, zufolge, an","after, subsequent to, in pursuit of, following, in pursuance of, in accordance w>>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['77'],certain,,aɸar,"after, subsequent_to, in_pursuit_of, following, in_pursuance_of, in_accordance_w",rvn
afara,M.,Nachkomme,descendant,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,form,aɸara,descendant,n
afardags,M.,der folgende Tag,"morrow (N.), next day, day after",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,['1'],certain,form,aɸardaɣs,"morrow, next_day, day_after",n
afurdags,M.,der folgende Tag,"morrow (N.), next day, day after",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=1,[],certain,form,aɸurdaɣs,"morrow, next_day, day_after",n
afargaggan,V.,"nachgehen, folgen","go after, follow, accompany",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['7'],certain,,aɸarɡaŋɡan,"go_after, follow, accompany",v
afarlaistjan,V.,"nachfolgen, nachstreben, nachgehen, verfolgen","follow after, follow, pursue, trail (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['6'],certain,form,aɸarlaɪstjan,"follow_after, follow, pursue, trail",v
afarsabbate,M.,Nachsabbat,post-Sabbath period,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸarsabbate,postSabbath_period,n
afaruh,Präp.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],certain,,aɸaruh,,r
afaruþþan,Präp.,nach,after,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['2'],certain,,aɸaruθθan,after,r
